ChngClass,IDR,IMP_AUD,IMP_BSESN,IMP_BZ,IMP_CL,IMP_CNY,IMP_EUR,IMP_FTSE,IMP_GBP,IMP_GC,IMP_HKD,IMP_HSI,IMP_IXIC,IMP_JPY,IMP_KC,IMP_KLSE,IMP_LB,IMP_N100,IMP_N225,IMP_NG,IMP_PL,IMP_SGD,IMP_SI,IMP_SS,IMP_THB,IMP_USD,MarketCap,Volume,Posts,Polarity
Positive,3442.5637789,0.3398471357,38585.35,70.74,64.3,1.633602608,0.2158997145,7418.91,0.1857327401,1306.7,1.9063022388,30119.56,7909.28,26.982954768,96,1639.46,338.1,1063.51,21687.57,2.722,894.9,0.3289222894,15.17,3241.93,7.725558674,0.2432532221,845,1510271,20620,0.5423
Positive,3442.5637789,0.3398471357,38585.35,70.74,64.3,1.633602608,0.2158997145,7418.91,0.1857327401,1306.7,1.9063022388,30119.56,7909.28,26.982954768,96,1639.46,338.1,1063.51,21687.57,2.722,894.9,0.3289222894,15.17,3241.93,7.725558674,0.2432532221,845,1510271,20620,0
Negative,3435.495521,0.3398545327,38607.01,71.1,63.89,1.6276791946,0.2150975436,7417.12,0.1853884993,1300.3,1.8999909643,29839.45,7964.24,27.008017973,94.85,1624.23,343,1071.07,21711.38,2.678,904.7,0.3283884046,14.98,3189.96,7.7170326148,0.2422268563,799,556493,20838,0
Negative,3435.495521,0.3398545327,38607.01,71.1,63.89,1.6276791946,0.2150975436,7417.12,0.1853884993,1300.3,1.8999909643,29839.45,7964.24,27.008017973,94.85,1624.23,343,1071.07,21711.38,2.678,904.7,0.3283884046,14.98,3189.96,7.7170326148,0.2422268563,799,556493,20838,0
Positive,3425.2190499,0.3385616704,38767.11,71.71,64.5,1.6290548142,0.2148939706,7431.29,0.1856558397,1295.3,1.9056854567,29909.76,7947.36,27.214057741,90.25,1630.17,339,1072.13,21870.56,2.676,906.3,0.3287498512,14.99,3188.63,7.7220189282,0.242980705,824,414382,21063,0
Positive,3425.3192772,0.3388424616,38767.11,71.48,63.76,1.6293167587,0.2150236391,7437.06,0.1858881566,1293.5,1.9059587133,29909.76,7984.16,27.224376023,90.25,1630.17,348,1072.63,21870.56,2.654,895.4,0.3288751307,14.93,3188.63,7.7227566451,0.2430214325,824,414382,21072,0
Positive,3428.5447156,0.3394646757,38767.11,71.48,63.76,1.6293074008,0.2148421375,7437.06,0.1859009376,1293.5,1.9060267317,29909.76,7984.16,27.228968498,90.25,1630.17,348,1072.63,21870.56,2.654,895.4,0.3287772873,14.93,3188.63,7.7168499602,0.2430242362,824,414382,21086,0
Negative,3417.9489381,0.3385337705,38905.84,71.03,63.39,1.6302563557,0.2149671765,7436.84,0.1854437549,1286.8,1.9049190358,29810.72,7984.16,27.217858118,90.7,1631.33,348,1074.11,22169.11,2.625,885,0.328674149,14.81,3177.79,7.7254387396,0.2430255728,795,333249,21172,0
Negative,3410.5795371,0.3375331977,39275.64,71.27,63.65,1.625021963,0.2144085302,7483.42,0.1855367868,1282.9,1.8990251404,30129.87,7976.01,27.10599271,92.75,1629.46,347,1076.3,22221.66,2.589,892.6,0.3278606665,14.88,3253.6,7.7065151315,0.2421072839,778,306291,21223,0
Negative,3388.5699179,0.3373364806,38102.34,72.07,64.43,1.617163016,0.2139990728,7308.9054545,0.1854935499,1278.3,1.8967123353,29391.804697,7780.3812121,27.074932197,91.55,1656.5266667,334.8,1050.4521212,21673.142727,2.568,889.8,0.3271360921,15.03,3124.709697,7.6876772504,0.2417890053,695,671464,21416,0.2023
